oem,oem_norm,hr_raw,hr_code,matched
2683107X,2683107X,HR8242,HR 8242,1
26831112,26831112,HR7818,HR 7818,1
26831133,26831133,HR8144,HR 8144,1
26831190,26831190,HR8225,HR 8225,1
26831192,26831192,HR8225,HR 8225,1
26831193,26831193,HR8225,HR 8225,1
2683119X,2683119X,HR8225,HR 8225,1
26831260,26831260,HR8753,HR 8753,1
26831372,26831372,HR8243,HR 8243,1
26831422,26831422,HR46277,HR 46277,1
26831552,26831552,HR8749,HR 8749,1
26831561,26831561,HR8244,HR 8244,1
26831591,26831591,HR8753,HR 8753,1
26831722,26831722,HR8245,HR 8245,1
26831832,26831832,HR8312,HR 8312,1
26831833,26831833,HR8312,HR 8312,1
26831882,26831882,HR8225,HR 8225,1
2683188X,2683188X,HR8225,HR 8225,1
26837740,26837740,HR7549,HR 7549,1
2684,2684,HR3120,HR 3120,1
2686,2686,HR1197,HR 1197,1
268615,268615,HR7770,HR 7770,1
2688,2688,HR5571,HR 5571,1
268803,268803,HR82349,HR 82349,0
2689,2689,HR1198,HR 1198,1
2690,2690,HR5638,HR 5638,1
2691,2691,HR3645,HR 3645,1
2692,2692,HR3589,HR 3589,1
26928,26928,HR7503,HR 7503,1
2693,2693,HR5642,HR 5642,1
2693501,2693501,HR3502,HR 3502,1
27003.050,27003050,HR8340,HR 8340,1
270125,270125,HR8868,HR 8868,1
2703000,2703000,HR6039,HR 6039,1
270410,270410,HR81916,HR 81916,0
27046001,27046001,HR2080/10,HR 2080/10,1
2705,2705,HR2175,HR 2175,1
2706,2706,HR3682,HR 3682,1
270625,270625,HR81973,HR 81973,0
270879,270879,HR82439,HR 82439,0
2711,2711,HR2171,HR 2171,1
2712,2712,HR2181,HR 2181,1
2713,2713,HR2161,HR 2161,1
271996,271996,HR80342,HR 80342,0
272302,272302,HR7871,HR 7871,1
2736302,2736302,HR2063/02,HR 2063/02,1
27363020,27363020,HR2063/02,HR 2063/02,1
27373,27373,HR8470,HR 8470,1
27373.050,27373050,HR8470,HR 8470,1
27373.051,27373051,HR8470,HR 8470,1
27380000,27380000,HR2080/00,HR 2080/00,1
2738006,2738006,HR2080/06,HR 2080/06,1
27380060,27380060,HR2080/06,HR 2080/06,1
27397.050,27397050,HR8421,HR 8421,1
27397.051,27397051,HR8421,HR 8421,1
274001,274001,HR7511,HR 7511,1
274004,274004,HR7919,HR 7919,1
274007,274007,HR7511,HR 7511,1
