oem,oem_norm,fbt
040.024-TR2,040024TR2,FBT41342
040.026-EL2,040026EL2,FBT41274
040.026R-E2,040026RE2,FBT41274
040.027-TR2,040027TR2,FBT41344
040.028-EL1,040028EL1,FBT41222
040.029-TR1,040029TR1,FBT41109
040.034R-T1,040034RT1,FBT41380
040.034-TR1,040034TR1,FBT41380
040.130-EL1,040130EL1,FBT41185
040.130R-E1,040130RE1,FBT41185
040.130R-J1,040130RJ1,FBT41304
040.130-TR1,040130TR1,FBT41185
040.133R-E1,040133RE1,FBT41229
040.146-EL1,040146EL1,FBT41186
040.146R-E1,040146RE1,FBT41186
040.146R-J1,040146RJ1,FBT41301
040.146R-T2,040146RT2,FBT41186
040.146R-T3,040146RT3,FBT41378
040.146-TR1,040146TR1,FBT41186
040.146-TR2,040146TR2,FBT41186
040.150R-E1,040150RE1,FBT41221
040.150R-EL1,040150REL1,FBT41221
040.150R-J1,040150RJ1,FBT41303
040.S01R-J1,040S01RJ1,FBT41305
040.S01R-T1,040S01RT1,FBT41305
040.S02R-T1,040S02RT1,FBT41384
042 048 9,0420489,FBT40335
042 050 5,0420505,FBT40532
042 145 3,0421453,FBT40621
042 439 0,0424390,FBT40342
042 797 5,0427975,FBT40862
04312-0022,043120022,FBT13830
043213005,043213005,FBT40523
043213005P,043213005P,FBT40523
043213008,043213008,FBT40523
043213008F,043213008F,FBT40523
043213009,043213009,FBT40523
043213009F,043213009F,FBT40523
043214042D,043214042D,FBT41214
043214043D,043214043D,FBT41217
043221008P,043221008P,FBT40469
043714002,043714002,FBT40006
0437140021,0437140021,FBT40006
043714002J,043714002J,FBT40006
044 115 4,0441154,FBT40654
044 224 4,0442244,FBT40399
044 984 3,0449843,FBT40376
045 787 9,0457879,FBT40532
048 214 1,0482141,FBT40424
048 593 8,0485938,FBT40435
050 212 0,0502120,FBT40423
050 954 7,0509547,FBT40518
051.102,051102,FBT13610
051.319,051319,FBT13661
051.333,051333,FBT13664
051 498 4,0514984,FBT40387
051.551,051551,FBT13830
051.581,051581,FBT40421
051.592,051592,FBT40031
051.624,051624,FBT40422
051.645,051645,FBT40421
051.656,051656,FBT40031
051.658,051658,FBT40421
051.659,051659,FBT40031
051.663,051663,FBT40421
051.666,051666,FBT40421
051.672,051672,FBT40423
051.674,051674,FBT40423
051.681,051681,FBT40422
051.684,051684,FBT40422
051.690,051690,FBT40031
051.697,051697,FBT40515
051.698,051698,FBT40516
051.698-01,05169801,FBT40516
051.713,051713,FBT40517
051.718-01,05171801,FBT40515
051.726,051726,FBT40517
051.726-01,05172601,FBT40517
051.739,051739,FBT40657
051.753,051753,FBT40669
051.756,051756,FBT40662
051.759,051759,FBT40668
051.760,051760,FBT40668
053 095 6,0530956,FBT40329
054 499 9,0544999,FBT40434
055 564 9,0555649,FBT40620
056 233 0,0562330,FBT40564
056 454 2,0564542,FBT41291
057.034-EL1,057034EL1,FBT40721
057.034-EL2,057034EL2,FBT40873
057.034-TR1,057034TR1,FBT40721
057.034-TR2,057034TR2,FBT40721
057.138-EL1,057138EL1,FBT40968
057.234-EL1,057234EL1,FBT40939
057.234-EL2,057234EL2,FBT40940
057.234-EL3,057234EL3,FBT40996
057.234-EL4,057234EL4,FBT40940
057.234-EL5,057234EL5,FBT40979
057.234-EL6,057234EL6,FBT40939
057.234-TR1,057234TR1,FBT40979
057.334-EL1,057334EL1,FBT40827
057.534-EL1,057534EL1,FBT40718
057.534-EL2,057534EL2,FBT40719
057.534-OG1,057534OG1,FBT40718
057.534-TR1,057534TR1,FBT40719
057.534-TR2,057534TR2,FBT40719
057.834-EL1,057834EL1,FBT40906
057.834-EL2,057834EL2,FBT40906
057.834-EL4,057834EL4,FBT41126
057.834-EL5,057834EL5,FBT40906
057.834-ELD,057834ELD,FBT40906
057.834-TR1,057834TR1,FBT40906
057.934-EL1,057934EL1,FBT40808
057.934-EL2,057934EL2,FBT41028
057.934-EL3,057934EL3,FBT41071
057.934-EL4,057934EL4,FBT41283
